
campaigncutscene_tooltip 				(點一下繼續下一章故事)
objective_food_buildgarbagearea         規劃垃圾場
objective_food_clearcanteen             清理餐廳廢墟
objective_food_clearkitchen             清理廚房廢墟
objective_food_hiremoreworkmen			(非必要) 雇用工人加速廢墟拆除

objective_food_dismissallfiremen_description 	解散緊急服務，在螢幕右邊找到對應的圖示，並點選紅色 X 圓圈將他們送回。
objective_food_cleararea_description 	使用拆除剷平工具來拆除建築，拆除剷平工具在工具列的「地基」類別裡。

adviser_food_familyvisit1				幹的好。
adviser_food_familyvisit2 				來檢查一下傷亡狀況。

adviser_food_troublesoon1				沒有食物，囚犯們會在幾天內就把牆給拆了。
adviser_food_troublesoon2 				我們必須在暴動發生前搞定監獄問題。
adviser_food_troublesoon3 				這是部署介面，從這裡你可以控制並派遣所有警衛。
adviser_food_troublesoon4 				部署一些警衛到各個牢房和房間內，指派十個警衛，這人數應該足夠應付目前監獄\n的狀況。
adviser_food_troublesoon5				我還要一些警位在監獄內空地周圍巡邏，之後要在那邊蓋新建築。
adviser_food_troublesoon6				最後一件事，因為餐廳無法營業，有些裝在箱子內的食物可能壞了，把這些食物丟\n了以免病菌傳染。

objective_food_deployguards				在監獄內部屬十名警衛
objective_food_deploypatrol				指派兩名警衛在監獄內空地巡邏

objective_food_deployguards_description		要部署警衛，請打開部署介面，然後在區域內點擊來增加崗位數量，一名警衛會被自動指派到該崗位上。
objective_food_deploypatrol_description		打開部署介面，點選巡邏，然後點擊並拖曳來建立巡邏路線。\n\n再點一次巡邏路線即可指派警衛到該路線巡邏。

objective_food_dumpfood 				丟棄腐壞的食物
objective_food_dumpfood_description		腐壞的食物應該在監獄東北角的儲藏櫃內。\n\n要丟棄東西，請點選物品然後在選單中選擇「丟棄」。

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				呃 .... ...

adviser_food_doninfirmary0              他好像想說什麼。
adviser_food_doninfirmary1				這到底是哪個他媽的混帳白目幹的？
adviser_food_doninfirmary2 				沒有人針對你啊，老爸，這是場意外。
adviser_food_doninfirmary3 				你們兩個給我閉上臭嘴仔細聽好。
adviser_food_doninfirmary4 				如果被我發現你們兩個是誰放這混帳火，我一定把你的脖子扭斷。
adviser_food_doninfirmary5 				但我的時間差不多了，我想我會死在這該死的病床上。
adviser_food_doninfirmary6 				而我們還有家族事業要經營，巴勒莫家族的名號是我們僅存的東西，你們這些廢柴\n要做些值得讓人尊敬的事，懂嗎？
adviser_food_doninfirmary7				我們知道該怎麼做，老爸。
adviser_food_donchat13					這事還沒結束，尼克。
adviser_food_donchat14					你他媽的小心背後啊。

adviser_food_founddrugs1				你不會相信我剛剛聽到的事。
adviser_food_founddrugs2				我們的工人剛剛在傾倒過期食物的時候，發現了幾包毒品和一些酒藏在箱子裡。
adviser_food_founddrugs3				我們老早就懷疑是巴勒莫家族的人在走私這些東西進監獄，但我們一直不知道他們\n怎麼做的。
adviser_food_founddrugs4 				有時候不只是下雨，而且是傾盆大雨。

adviser_food_rebuild1                   我們還有很多工作要做，要專注在廚房和餐廳的重建工作。
adviser_food_rebuild2                   首先，我們必須要重建廚房，你需要安裝一些設備，然後雇用一些廚師。
adviser_food_rebuild3					廚房蓋好後，再來蓋餐廳。
adviser_food_rebuild4					當全部都蓋好之後，廚師就會自動開始為監獄準備餐點。
adviser_food_rebuild5                   如果你不確定要做什麼的時候，記得看看待辦事項清單，上面有些提示。

adviser_food_fightoutro1  				好了，這下看來巴勒莫家族已經沒剩幾個人了。

adviser_food_sprinklerintro1 			我們有些棘手的毒品問題要解決，但現在還沒空處理這些事。
adviser_food_sprinklerintro2 			我們已經把廚房和餐廳都搞定了，廚師們會開始幫大家準備餐點，這應該可以讓事\n情緩和一些。
adviser_food_sprinklers1                我覺得這場火應該是有人故意縱火，我們絕對不想要這種事再發生第二次。
adviser_food_sprinklers2 				在新的廚房和餐廳裡安裝自動灑水器系統，並將系統連上水管。

adviser_food_explainneeds1 				所有的囚犯都有個人需求，這些需求滿足度會直接影響囚犯的行為表現，現在所有\n囚犯都餓扁了，他們正在大吵大鬧。
adviser_food_explainneeds2 				食物是他們最需要的東西，如果無視這個需求後果可能不堪設想，失敗的餐點管理\n很容易造成監獄暴動。
adviser_food_explainneeds3 				你可以在右下角監獄報告上的需求頁面看到囚犯的個人需求。
adviser_food_explainneeds4				這份報告顯示所有囚犯的整體需求，紅色代表該項需求很多人不滿意。
adviser_food_explainneeds5 				如同你所預料的一樣，食物幾乎是全紅的，除此之外囚犯們也很無聊 (休閒) ，還\n有環境和衣著需求也顯示整個監獄目前狀況很糟。
adviser_food_explainneeds6				身為駐監建築師，這將由你來決定哪些需求要先處理，例如你可以在牢房裡面安裝\n電視來避免囚犯無聊，再雇用一些清潔工來整理環境。
adviser_food_explainneeds7				或是你也可以無視囚犯的需求，完全依靠武力來壓制囚犯。
adviser_food_explainneeds8 				接下來就讓你自己決定。

objective_food_needs 					(非必要) 滿足囚犯的需求
objective_food_handlefoodneed 			(非必要) 解決囚犯的食物問題
objective_food_handleboredomneed		(非必要) 解決囚犯的休閒問題
objective_food_handleenvironmentneed	(非必要) 解決囚犯的環境問題

objective_food_needs_description 					你可以點選監獄報告 (螢幕右下角) 察看所有囚犯的整體需求狀況。\n你也可以點選單一個囚犯看看他個人的需求。\n\n需求是不可能永遠滿足的 - 這是個無止境的戰爭。
objective_food_handlefoodneed_description 			我們的廚師會為大家準備餐點，因此在下個用餐時間應該就可以餵飽所有囚犯。
objective_food_handleboredomneed_description 		在每個囚犯的個人監獄內安裝電視，可以很有效的解決休閒問題，或你可以建造一個公共休息室然後放一些電視和撞球桌在裡面。\n\n你也可以在公共空間，例如餐廳裡面放一些電視。
objective_food_handleenvironmentneed_description 	雇用一些清潔工，他們會慢慢的把監獄環境打掃乾淨。

adviser_food_needssuccess1 				你在處理囚犯需求的努力上十分令人欽佩，幹的好。
adviser_food_needssuccess2 				你大概有注意到，囚犯抱怨剩下最大的問題是乾淨的囚衣。
adviser_food_needssuccess3 				如果你也想要解決這個問題，你需要蓋一間洗衣間，慢慢的提供囚犯乾淨的衣服。
adviser_food_needssuccess4 				蓋一間洗衣間，然後雇用更多清潔工來處理囚犯的衣著問題吧。

objective_food_laundry 					(非必要) 乾淨的衣著
objective_food_buildlaundry 			(非必要) 蓋一間洗衣間
objective_food_hirejanitors             (非必要) 雇用足夠的清潔工來洗衣間工作
objective_food_handleclothingneed 		(非必要) 滿足囚犯的衣著需求

objective_food_buildkitchen             蓋一間廚房 (約 12 x 12 格)
objective_food_buildkitchencookers      安裝至少四台瓦斯爐
objective_food_buildkitchenfridges      安裝至少四台冰箱
objective_food_buildkitchensink         安裝一個水槽
objective_food_buildkitchenbin	 		在廚房放置一個垃圾桶
objective_food_buildkitchenwatermains 	將水槽連接到水管
objective_food_buildkitchenfloor 		(非必要) 在廚房鋪上更好的地板材質

objective_food_buildkitchen_description		你需要先建造地基。
objective_food_buildcanteen_description		你需要先建造地基。

objective_Food_HireChefs				雇用至少八名廚師
objective_food_CookMeals				(自動) 為所有囚犯準備餐點

objective_food_buildcanteen             蓋一間餐廳 (約 20 x 20 格)
objective_food_buildservingtables       安裝兩張自助餐桌
objective_food_buildcanteentables       安裝至少六張桌子
objective_food_buildcanteenchairs       每張桌子需要兩張長椅
objective_food_buildcanteenbin	 		在餐廳放置一個垃圾桶
objective_food_buildcanteenfloor 		(非必要) 在餐廳鋪上更好的地板材質


objective_food_buildsprinklers          安裝新的灑水器系統
objective_food_buildsprinklers1         在廚房安裝一些灑水器
objective_food_buildsprinklers2         在餐廳安裝一些灑水器
objective_food_connectwater             將廚房的灑水器連上水管
objective_food_connectwater2			將餐廳的灑水器連上水管
objective_food_feedprisoners            餵飽所有的囚犯以完成一次成功的晚餐

objective_food_buildkitchenwatermains_description   大水管使用高水壓來輸送大量的水，小水管則是用來連接各個需要用水的設備。\n\n在「設施」介面可以在建築內設置大水管，然後再用小水管將需要用水的設備連接上大水管。
objective_food_connectwater_description             大水管使用高水壓來輸送大量的水，小水管則是用來連接各個需要用水的設備。\n\n在「設施」介面可以在建築內設置大水管，然後再用小水管將需要用水的設備連接上大水管。
objective_food_connectwater2_description            大水管使用高水壓來輸送大量的水，小水管則是用來連接各個需要用水的設備。\n\n在「設施」介面可以在建築內設置大水管，然後再用小水管將需要用水的設備連接上大水管。

campaigncutscene_foodinfirmary			醫務室
campaigncutscene_foodfamily             家族
campaigncutscene_foodfeud               是仇
campaigncutscene_foodregret				遺憾
campaigncutscene_foodsuccession 		繼承

campaigncutscene_foodfamily_description		巴勒莫家族曾經掌管美國東岸所有的毒品事業，探索唐・巴勒莫和他孩子們的背景故事。

adviser_name_thedon                     唐・巴勒莫
adviser_name_thedonangry                唐・巴勒莫
adviser_name_nico                       尼克・塔莫瑞提
adviser_name_nicoshower					尼克・塔莫瑞提
adviser_name_nicosuited					尼克・塔莫瑞提
adviser_name_sonny                      桑尼・巴勒莫 
adviser_name_sonnysuited				桑尼・巴勒莫
adviser_name_sonnystrangled				桑尼・巴勒莫
adviser_name_anthonysuited				安東尼・巴勒莫
adviser_name_wiggins					威金斯
adviser_name_nicoinfirmary				尼克・塔莫瑞提
adviser_name_vitalia					維塔莉雅・巴勒莫

cutscene_foodfamily_palermo01			唐・維克多・巴勒莫，是東岸最令人畏懼的幫派家族的老大。
cutscene_foodfamily_palermo1			十幾年來，巴勒莫家族一直在躲避 FBI 聯邦調查局的追緝。
cutscene_foodfamily_palermo02			安東尼・巴勒莫，唐的長子，也是家族繼承人，負責經營家族的大小事務。
cutscene_foodfamily_palermo03			尼克・塔莫瑞提 原本不是家族的正式成員，但後來他娶了唐的獨女維塔莉雅之後，也加入家族\n一同經營事業。
cutscene_foodfamily_palermo04			而 桑尼・巴勒莫，唐的第二個兒子，也是最小的兒子，他的脾氣跟牛一樣壞，但\n智力大概只有牛的一半吧。

cutscene_foodfamily_palermo2 			他們的家族企業專門經營緬因州和佛羅里達州的毒品交易。
cutscene_foodfamily_palermo3			一直到安東尼偷吃時被當場發現，抓姦在床。
cutscene_foodfamily_palermo3b           然後被一個吃醋的丈夫射死。
cutscene_foodfamily_palermo4			對家族來說更不幸的是，警方在現場發現安東尼的包包裡面找到 12 公斤\n未切割的古柯鹼。
cutscene_foodfamily_palermo5			而所有證據都指向家族。
cutscene_foodfamily_palermo6			一夜之間，巴勒莫家族辛苦打造的一切全部化為泡影，FBI 掌握了所有證據，\n足以把整個家族關進監獄。
cutscene_foodfamily_palermo7			除了維塔莉雅，唐的唯一女兒，也是唯一沒有被關起來的家族成員。
cutscene_foodfamily_palermo8			我們對她瞭解不多，我們只知道她總是避免接觸家族事業。
cutscene_foodfamily_palermo9 			但監獄外一定有人把這些毒品偷渡進來。

adviser_food_findalldrugs1				食物問題解決後，囚犯們的情緒一定好多了。

adviser_food_findalldrugs2				合理猜測，巴勒莫家族成員一定有在監獄內向其他囚犯販售毒品。
adviser_food_findalldrugs3				警衛們告訴我，他們看到很多囚犯在那場大火之後出現了毒品戒斷症狀。
adviser_food_findalldrugs4				我要你對每個囚犯搜身並徹底搜查每間牢房，我敢打賭我們可以在監獄內找到很多\n巴勒莫的毒品。

objective_food_findalldrugs					找出監獄內所有毒品
objective_food_findalldrugs_description 	要搜查一間牢房，點選那監牢房的囚犯，然後點選「搜查牢房」，或是用工具列上的「全面安檢」按鈕來進行全面搜查。

objective_food_hiremoreguards 			(非必要) 雇用更多警衛提高搜查效率。

adviser_food_drugsfound1				往好處想，事情可能沒那麼糟糕，雖然確定有毒品和酒精依賴的問題。
adviser_food_drugsfound2				我們可以幫助這些人，這是制止他們負面行為和解決他們症狀的唯一方法。
adviser_food_drugsfound2b 				請在醫務室開一堂毒癮藥物治療課程，我們的醫生會給予化學替代品，協助他們改\n善毒品上癮症狀。
adviser_food_drugsfound3				至於酒精上癮的沒有化學替代品可用，因此我建議開一堂集體治療課程。
adviser_food_drugsfound4				你要蓋一間新的公共休息室來進行這堂課。
adviser_food_drugsfound5				開始新的課程，請到右下角的「監獄報告」內選擇「教化課程」頁面。

objective_food_drugtreatment			開一堂毒癮藥物治療課程
objective_food_cureaddictions			(非必要) 開始治療囚犯的毒癮
objective_food_alcoholprogram			開一堂集體戒酒治療課程
objective_Food_HelpAlcoholics			(非必要) 開始協助囚犯戒酒
objective_food_buildcommonroom 			蓋一間公共休息室
objective_food_buildcommonroomchairs	提供八張椅子給課程進行用

objective_food_drugtreatment_description 	點選螢幕右下角的「監獄報告」，然後點選「教化課程」頁面，課程叫做「毒癮藥物治療」，在醫務室進行課程。\n\n你需要在日程表內安排至少兩小時的工作時間，囚犯才有時間參與課程。
objective_food_alcoholprogram_description 	點選螢幕右下角的「監獄報告」，然後點選「教化課程」頁面。\n\n你需要在日程表內安排至少兩小時的工作時間，囚犯才有時間參與課程。

cutscene_food_feudintro1 				沐浴間出事了，有人死在那裡。
cutscene_food_feudintro2 				欸事實上，有兩個人死在那裡，不幸中的大幸，這裡有安裝監視攝影機。
cutscene_food_feudintro3 				你有空的時候，點一下沐浴間的拍立得照片，看一下發生了什麼事。

objective_food_triggerfightscene		當你準備好時，點選沐浴間的拍立得\n照片以繼續劇情。
objective_food_triggerfightscene_description 	沐浴間在監獄的西北角。

cutscene_food_feud1b                    只有他一個人，完美。
cutscene_food_feud1                     你終於來了。
cutscene_food_feud2                     閉嘴，我實在搞不懂我那蠢妹妹到底看上你哪一點。
cutscene_food_feud2b 					這是她的點子？把老爸幹掉？
cutscene_food_feud3                     你這死肥宅竟敢這樣說？我不是故意要讓他受傷，我愛他就像是我自己的爸爸一樣。
cutscene_food_feud3b 					我實在受夠了看這整個家族因為你的愚蠢而瓦解。
cutscene_food_feud4                     這火本來是要幹掉你的。
cutscene_food_feud5                     那現在就讓我來好好感謝你。
cutscene_food_feud6                     不要說的好像自己是聖人一樣，我們都知道你早就想要幹掉我。
cutscene_food_feud7                     是是是，你總是那麼的聰明，尼克，看看你現在的樣子，別擔心，事情很快就會結束。
cutscene_food_feud8                     我告訴過你，小心背後。
cutscene_food_feud8b                    呃啊啊啊啊啊!!!!!.....
cutscene_food_feud8c                    努啊啊啊啊啊!!!!
cutscene_food_feud8d                    你認識弗朗基嗎？他對於鋼琴線這方面還挺有天賦的。
cutscene_food_feud8e                    好吧坦白說，等他完事以後，大家都會認為這是一起自殺事件。
cutscene_food_feud9                     這事還沒結束，尼克。
cutscene_food_feud9b                    你一定在跟我開玩笑吧。

cutscene_food_successionintro			非常好，我們讓這監獄煥然一新了，我相信監獄現在終於恢復正常了。
cutscene_food_successionintro2 			你可以留下來繼續改進這座監獄的設施，或是我們可以到下一座監獄去看看。
cutscene_food_successionintro3 			當你準備好時，點一下醫務室的拍立得照片。

objective_food_runending 				當你準備好時，點選醫務室的拍立得\n照片以繼續劇情。
objective_food_runending_description	醫務室在監獄的西南角。

cutscene_food_succession1				維塔莉雅！ 
cutscene_food_succession1b				...?
cutscene_food_succession2				甜心寶貝！
cutscene_food_succession3				十分抱歉我搞砸了。
cutscene_food_succession4				噓，安靜。
cutscene_food_succession5				他們說老爸撐不過這週。
cutscene_food_succession6				我知道，我是來說再見的。
cutscene_food_succession7				你知道，我們現在可以離開這裡，就你跟我，我受夠了這生活，他剝奪了我的一切。
cutscene_food_succession8				我很想這麼做。
cutscene_food_succession9				但我不能這麼做，我是巴勒莫家族的一份子，尼克。
cutscene_food_succession10				而且老爸走了之後，如果由你這外人坐上他的位子，我們的敵人一定會趁機幹掉我\n們整個家族。
cutscene_food_succession11 				我不能讓這種事發生，我要讓他們知道還有一個巴勒莫仍在掌管大局。
cutscene_food_succession12				什麼？你是特地來打擊我的嗎？我們一起經歷過這麼多事都不算了嗎？
cutscene_food_succession13				尼克，尼克，尼克，你實在是太天真了。
cutscene_food_succession14 				不，親愛的，我是來跟你離婚的。
cutscene_food_succession15				啥鬼？你在開玩笑嗎？如果沒有家族幫我撐腰，我在這裡面就死定了。
cutscene_food_succession16				我知道，親愛的，但這已經不關我的事了。
cutscene_food_succession17				老爸，祝你到一個更好的世界。
cutscene_food_succession18				再見了，尼克。


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    G.A.B.O.S
campaignchapter_riot_description		阿基米科州立監獄發生大暴動，盡快前往並鎮壓現場。

campaigncutscene_riotintro              最新消息

adviser_riot_newsintro_01				最新消息！
adviser_riot_newsintro_02				阿基米科州立監獄發生大暴動 - 所有員工和警衛已經撤離，等待軍方協助。
adviser_riot_newsintro_1				但有許多人目前仍下落不明，其中包含了公司執行長查爾斯・華萊士。
adviser_riot_newsintro_2				幾位知名法官被逮捕不久後，隨即就發生了暴動...
adviser_riot_newsintro_3				...這些法官據說因私下被買通，讓一些囚犯的刑期縮短。
adviser_riot_newsintro_4				此外更火上加油的消息，有來源指出最近幾起囂張的兇殺案震驚了黑社會...
adviser_riot_newsintro_5				...其中包括上個月試圖刺殺黑社會老大維克多・巴勒莫的案件。
adviser_riot_newsintro_6				執行長查爾斯・華萊士的副手最近才接手這個職位，努力的希望能恢復秩序。
adviser_riot_newsintro_7				缺乏經驗的新手面對這場大危機，是否能妥善處理，讓我們繼續看下去。
adviser_riot_newsintro_8                目前在服無期徒刑的重刑犯道格拉斯・本尼迪克特，具稱是這次暴力事件的主謀。

adviser_riot_newsintroheller_1 			卡爾文・海勒市長在幾分鐘前發表了這份聲明。
adviser_riot_newsintroheller_2 			對於那些質疑我們懲罰教化政策的人們，這應該是個很好的警示。
adviser_riot_newsintroheller_3 			這些人都吃的好、住的好，而且還擁有一份有薪的工作。
adviser_riot_newsintroheller_4 			納稅人繳稅給他們舒適，而這就是他們回報納稅人的方式。

campaigncutscene_riothostages			人質
adviser_name_riotceo					執行長
adviser_name_riotbenedict 				本尼迪克特

adviser_riot_hostages1					聽好，你們的執行長現在在我們手上。
adviser_riot_hostages1b 				唔 ... ...
adviser_riot_hostages2 					所以接下來照我說的去做，我要什麼，你給什麼。
adviser_riot_hostages3					有任何問題，派個人進來講，但要是我聞到任何警察的味道，我就把子彈塞進他的\n腦袋裡。
adviser_riot_hostages4 					我們要一輛沒有被追蹤的車子，黑色車窗，加滿油，一小時內送來，我會再聯絡。
adviser_riot_hostages5 					現在，我們在哪？
adviser_riot_hostages5b					你在這間辦公室幹什麼？
adviser_riot_hostages6					我發誓，我什麼都不知道啊。
adviser_riot_hostages7					我看我自己看多了，我很清楚一個人是不是在犯罪。
adviser_riot_hostages8					你到底在藏什麼？
adviser_riot_hostages9					我應該待在這種地方，但那些孩子... 對任何人有好處嗎？會給他更多時間嗎？
adviser_riot_hostages10					你知道一些事情，告訴我，才能活著離開這裡。

adviser_riot_hostageheller1 			這完全無法接受，我們需要監視餐廳內的狀況，才知道發生了什麼事。
adviser_riot_hostageheller2 			在餐廳北方有一個小小的安全中心，佔領並奪回來。
adviser_riot_hostageheller3 			部署一些警衛在裡面操作閉路監視器，這樣我們就可以看到牢房區的狀況。

objective_Riot_MaxSecCameras			奪回安全中心

campaigncutscene_riotroulette			輪盤賭博

adviser_riot_rouletteintro1             我們派警衛在安全中心了，從閉路監視系統可以看到現場畫面。
adviser_riot_rouletteintro2             讓我們看看人質的狀況。
adviser_riot_click 						<點選>
adviser_riot_roulette1					老大，這是你離開這裡的最後機會了，玩過兩顆子彈的輪盤賭博嗎？
adviser_riot_roulette2 					兩顆子彈，四個空包彈。
adviser_riot_roulette2b 				以前跟長耳大野兔玩過這遊戲，後來我們把牠們的頭給轟了。
adviser_riot_roulette3 					你也會跟牠們一樣。
adviser_riot_roulette4 					讓我們問個簡單的問題，你在辦公室是負責什麼的？
adviser_riot_roulette5 					我發誓，我什麼都不知道。
adviser_riot_roulette5b 				喔是嗎。
adviser_riot_roulette6 					好吧，誰先來？你？我？還是這傢伙？
adviser_riot_roulette7					你知道什麼嗎，長耳大野兔。
adviser_riot_roulette8 					那些檔案裡面有什麼？
adviser_riot_roulette9 					我發誓！我真的不知道...
adviser_riot_roulette10 				你的好運快用完了，裡面還有一顆子彈，我知道我看到了什麼。
adviser_riot_roulette11b 				我簡直不敢相信我自己的眼睛。
adviser_riot_roulette11c 				大公司老闆，自己在監獄裡面，不知道在幹什麼看起來十分有罪的事情。
adviser_riot_roulette11d 				我想除了我的資料以外，那些檔案應該還有其他東西。
adviser_riot_roulette11					拜託... 拜託別。
adviser_riot_roulette11e 				機會越來越少了，華萊士。
adviser_riot_roulette12 				讓我告訴你，我可以讓你輕鬆一些。
adviser_riot_roulette12b	 			夠了，廢話說到這裡。
adviser_riot_roulette13 				輪到你了，混帳，除非你告訴我一些我想知道的東西。
adviser_riot_roulette14 				我不能，拜託。
adviser_riot_roulette15 				好吧！拜託！拜託。不要開槍，那些是錢，都是錢。
adviser_riot_roulette16 				就這樣？
adviser_riot_roulette17 				你們有些利用價值，你們待在這越久，對我們的好處就越多，我們沒照規矩做事。
adviser_riot_roulette17b				那些檔案就是證據。
adviser_riot_roulette18 				所以我們到底為何有價值？你把我們留在這裡可以得到什麼好處？
adviser_riot_roulette19 				每年七萬三千元美金。
adviser_riot_roulette20					每個人？你他媽混帳，是時候該讓你償還這些東西了。

campaigncutscene_riotassault 			攻堅

adviser_riot_assault01					就是這樣，是時候該解決這件事了。
adviser_riot_assault02 					所有人都就位。
adviser_riot_assault03					我現在就要我的車子，華萊士要跟我們一起走，如果被我發現我被跟蹤，你們就準\n備在高速公路上撿他的屍體吧。
adviser_riot_assault2 					好了，大個子，你跟我們一起走，這樣他們才不會冒險幹蠢事。
adviser_riot_assault3 					我們沒有人能離開這裡的，他們要的不是你。
adviser_riot_assault4 					你在說什麼？
adviser_riot_assault5					我這樣做是為了錢，但他這樣做是為了政治利益，刑期越長，他的選票就越多。
adviser_riot_assault6					你他媽的是在說誰？
adviser_riot_assault7					海勒市長，這一切都是他的陰謀，我只是順水推舟而已。
adviser_riot_assault7b 					那些檔案就是證據，足以摧毀他整個政治生涯。
adviser_riot_assault8					你別想騙我。
adviser_riot_assault9 					搞啥鬼...
adviser_riot_assault9b					他們攻進來了，快準備！
adviser_riot_assault10					我他媽的警告過你！

# Riot Objectives and help text

adviser_name_negotiator 				談判代表

adviser_riot_negotiator1 				這邊完全失控了，根本沒有人指揮。
adviser_riot_negotiator2 				我們有很多傷亡，剩下的警衛已經從暴動牢房區撤出到外圍了。
adviser_riot_negotiator3 				快想個辦法看該怎麼做，在事情無法收拾之前控制場面。
adviser_riot_negotiator4 				鎮暴警察應該在幾分鐘內抵達現場。

adviser_riot_firstreinforcements1 		第一批應變小組已經抵達現場。
adviser_riot_firstreinforcements2 	 	這些是鎮暴警察，他們有重型武裝，指揮這些鎮暴警察把監獄側翼建築奪回來。
adviser_riot_firstreinforcements3 		同時附近州立醫院的醫護人員也抵達現場了。
adviser_riot_firstreinforcements4 		我建議指揮醫護人員支援鎮暴警察攻堅，以便提供緊急醫療照護。

objective_Riot_StopTheRiot 				鎮壓暴動
objective_Riot_StopTheRiot_description  沒有人負責指揮，你必須想個辦法解決問題。

adviser_riot_helleradvice1				現在跟我講話的應該是執行長的副手吧。
adviser_riot_helleradvice2 				我明白這是一個非常時期，我們正在接受嚴格的考驗，請放心，我會全力支持你，\n你可以調度使用所有的資源。
adviser_riot_deployguards1				我們取得了立足點，奪回了部分的監獄，而目前的傷亡狀況還在可接受範圍內。
adviser_riot_deployguards2				但在你繼續推進奪回其他建築之前，你需要鞏固目前奪回的側翼建築。
adviser_riot_deployguards3				雇用一些警衛，並在部署介面指派他們駐守已奪回的建築區域，他們會鞏固已奪回\n的側翼建築。
adviser_riot_deployguards4 				幫你安頓好這邊之後，再繼續推進奪回其他區域，鎮壓那些傢伙，他們不可理喻無\n藥可救，也沒有談判的空間。
adviser_riot_deployguards5 				我正在授權武裝應變小組儘速解決這件事。

adviser_riot_infirmary1 				整座監獄到處都是傷患，而且會越來越多，你不能讓他們躺在那流血等死。
adviser_riot_infirmary2 				在監獄裡找個地方蓋間醫務室，然後雇用醫生來照顧傷患。
adviser_riot_infirmary3 				此外還有一些屍體，看在個人尊嚴份上，我們要蓋一間太平間來安置他們。
adviser_riot_infirmary4					你需要雇用工人來建造設施，記得保護他們的安全。

objective_Riot_ResecureWings 			雇用警衛並將他們部署到已奪回的區域
objective_riot_medicalneeds				(非必要) 滿足囚犯的醫療需求
objective_Riot_Infirmary				(非必要) 蓋一間醫務室照料傷患
objective_Riot_Morgue 					(非必要) 蓋一間太平間集中死者
objective_Riot_SecureGenPop				奪回普通犯區域 (中央)
objective_Riot_SecureSpecialWing		奪回特殊區域 (西側)
objective_Riot_SecureMaxSec				奪回重刑犯區域 (南側)
objective_riot_putoutfires				控制火勢

adviser_riot_secondreinforcements1		更多的鎮暴警察抵達現場。

adviser_riot_armedreinforcements1		市長從附近的警局調度了一些武裝警衛過來。
adviser_riot_armedreinforcements2		小心這些傢伙，如果你放手讓他們到處跑，最後可能會血洗整座監獄。
adviser_riot_armedreinforcements3		不過另一方面來說，囚犯們看到這些傢伙時可能會選擇投降。

adviser_riot_reinforcementsunlocked1 	主力增援部隊抵達現場。
adviser_riot_reinforcementsunlocked2 	你現在可以在工具列上的緊急按鈕，呼叫需要的鎮暴警察和醫護人員小隊。

adviser_riot_cleanup1                   監獄目前已經獲得控制，暴動份子都已經制服了，整個局面差點就要變的更糟。
adviser_riot_cleanup2                   有一堆東西等著我們去善後，如果你有時間的話，我會感謝你的幫忙。
