
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
interfacemode_contraband                      情報
interfacemode_grading                         評鑑
interfacemode_spawn                           (重生)
interfacemode_properties                      (屬性)
interfacemode_cutscenes                       (過場)
interfacemode_selection                       選擇

interfaceoverlay_security                       保安
interfaceoverlay_patrols                        巡邏
interfaceoverlay_decay                          腐朽
interfaceoverlay_territory                      領土
interfaceoverlay_contraband                     違禁品

interfaceproperty_indoor                        室內
interfaceproperty_visible                       可見
interfaceproperty_territoryprisoner             幫派
interfaceproperty_territoryguard                警衛
interfaceproperty_sectorprisoner                暴動
interfaceproperty_tunnel                        地道

interfacedeployment_guards                      部署警衛
interfacedeployment_patrols                     警衛巡邏路線
interfacedeployment_dogpatrols                  警犬巡邏路線
interfacedeployment_armedpatrols                武警巡邏路線
interfacedeployment_removeguards                移除警衛
interfacedeployment_clearpatrols                移除巡邏路線
interfacedeployment_targetting                  後勤
interfacedeployment_targettingfood              食物後勤
interfacedeployment_targettinglaundry           衣物後勤
interfacedeployment_securearea                  安全區域
interfacedeployment_sharedzone                  公共區域
interfacedeployment_staffonlyzone               員工專區
interfacedeployment_maxseczone                  重刑犯專區
interfacedeployment_medseczone                  普通犯專區
interfacedeployment_minseczone                  輕刑犯專區
interfacedeployment_protectedzone               保護收容專區
interfacedeployment_supermaxzone                超重刑犯專區
interfacedeployment_deathrowzone                死刑犯專區
interfacedeployment_unlockedzone                不上鎖區域
interfacedeployment_zonered                     紅色區域
interfacedeployment_zonegreen                   綠色區域
interfacedeployment_zoneblue                    藍色區域
interfacedeployment_zoneyellow                  黃色區域

interfacelogistics_jobs                         監獄勞動
interfacelogistics_removejobs                   移除勞動名額
interfacelogistics_targettingfood               食物分配
interfacelogistics_targettinglaundry            衣物分配
interfacelogistics_roomquality                  房間品質

interfaceplanning_wall							牆
interfaceplanning_object						物件
interfaceplanning_route							走道
interfaceplanning_clear							清除

interfacecontraband_source                      潛在危險
interfacecontraband_day                         24小時內
interfacecontraband_week                        7天內
interfacecontraband_alltime                     30天內
interfacecontraband_informants                  線人
interfacecontraband_gangs                       幫派

interfaceclone_copy                             複製
interfaceclone_paste                            貼上

interfacetopbar_todo							待辦事項
interfacetopbar_balance							存款 *B
interfacetopbar_budget							資金流動 *C
interfacetopbar_income							收入 *I
interfacetopbar_expenses						支出 *C
interfacetopbar_day								第 *D 天

interfacetopbar_title_balance					銀行存款
interfacetopbar_title_budget					每日資金流動
interfacetopbar_title_cctv						閉路監視器
interfacetopbar_title_day						天數
interfacetopbar_title_prisoners					囚犯
interfacetopbar_title_guards					警衛
interfacetopbar_title_tension                   危險等級

interfacetopbar_tooltip_balance					銀行內的存款金額。\n\n點選以透過補助計畫清單取得更多資金。
interfacetopbar_tooltip_budget					根據目前支出和收入所算出每天監獄能獲取的金額。\n\n點選開啟更詳細的收入和支出明細。
interfacetopbar_tooltip_cctv					目前擁有的閉路攝影機和監視器數量。
interfacetopbar_tooltip_day						監獄目前營運總天數。
interfacetopbar_tooltip_prisoners				目前收容的囚犯的數量，以及監獄能收容的上限人數。
interfacetopbar_tooltip_guards					監獄內目前閒置、可進行其他工作的警衛數量。
interfacetopbar_tooltip_tension                 監獄保安隊長所評估的監獄潛在危險程度等級。

interfacetopbar_tooltip_recenttransactions      最近的資金活動

interfacetopbar_tooltip_gametime                總遊玩時數: *X小時，*Y分，*Z秒

interfacetopbar_tooltip_totalguards             共計 *X 名警衛
interfacetopbar_tooltip_guardincapacitated      *X 名無法行動
interfacetopbar_tooltip_guardstationed          *X 名站崗中 
interfacetopbar_tooltip_guardpatrolling         *X 名巡邏中
interfacetopbar_tooltip_guardavailable          *X 名閒置中
interfacetopbar_tooltip_guardresting            *X 名休息中
interfacetopbar_tooltip_guardactive             (*X 名正趕往事故現場)
interfacetopbar_tooltip_guarddoingjob           (*X 名正在進行任務)
interfacetopbar_tooltip_idle                    (*X 名目前閒置)
interfacetopbar_tooltip_armedguards             + *X 名武裝警衛
interfacetopbar_tooltip_dogs                    + *X 名帶犬警衛

interfacetopbar_unlimitedfunds                  無限資金

interfacetopbar_budget_moneyin					收入: $*M /日
interfacetopbar_budget_moneyout					支出: $*M /日
interfacetopbar_budget_cantgonegative           在聘請會計師管理監獄財務之前，資金流動不可為負的 (也就是支出大於收入) 。

interfacetopbar_prisoners_types					目前收容 *X 名囚犯:
interfacetopbar_prisoners_capacity              最大安全收容人數: *X
interfacetopbar_prisonercells_shared            公共區域容量: *X
interfacetopbar_prisonercells_unlocked          不上鎖區域容量: *X
interfacetopbar_prisonercells_minseconly        輕刑犯專區容量: *X
interfacetopbar_prisonercells_medseconly        普通犯專區容量: *X
interfacetopbar_prisonercells_maxseconly        重刑犯專區容量: *X
interfacetopbar_prisonercells_protectedonly     保護收容專區容量: *X
interfacetopbar_prisonercells_supermaxonly      超重刑犯專區容量: *X
interfacetopbar_prisonercells_deathrowonly      死刑犯專區容量: *X
interfacetopbar_prisonercells_staffonly         員工專區(無法收容囚犯): *X

interfacetopbar_cctv_current					目前共有 *C 支攝影機運作中
interfacetopbar_cctv_cap						尚可安裝 *C 支攝影機

interfacetopbar_tension_currentlevel            目前危險等級為 *X
interfacetopbar_tension_increasing              且正在提高中
interfacetopbar_tension_decreasing              且正在降低中
interfacetopbar_tension_description             潛在危險因素:
interfacetopbar_tension_happyprisoners          - *X 名囚犯說他們受到良好的對待
interfacetopbar_tension_unhappyprisoners        + *X 名囚犯正在嚴重的抱怨
interfacetopbar_tension_lockedupprisoners       + *X 名囚犯正在自己的牢房或禁閉室禁足中
interfacetopbar_tension_riotingprisoners        + *X 名囚犯正在暴動
interfacetopbar_tension_wellfedprisoners        - *X 名囚犯覺得飽足
interfacetopbar_tension_suppressedprisoners     = *X 名囚犯受壓抑 (發牢騷)
interfacetopbar_tension_activeriotguards        + *X 名鎮暴警察正在現場
interfacetopbar_tension_activearmedguards       + *X 名武裝警察值勤中
interfacetopbar_tension_recentdeaths            + *X 個人最近被殺了
interfacetopbar_tension_recentsearches          + *X 名囚犯最近被無故搜身
interfacetopbar_tension_angrygangmembers        + *X 名幫派成員非常憤怒 (他們老大被處罰了)
interfacetopbar_tension_recentpunishments       = (鎮壓) 近期執行了 *X 項處罰
interfacetopbar_tension_recentcalmed            - *X 名囚犯最近被安撫

interfacecontrol_mainmenu                       主選單 (Esc)
interfacecontrol_mainmenu_tooltip               顯示主選單 (新遊戲/讀取/存檔/離開 等等)
interfacecontrol_todo                           待辦事項清單
interfacecontrol_todo_tooltip                   切換顯示待辦事項清單
interfacecontrol_research                       監獄制度
interfacecontrol_research_tooltip               開啟監獄制度畫面，你可以在這裡指派管理幹部並解鎖新的物品、職員類型和監獄設施
interfacecontrol_grading                        監獄評鑑
interfacecontrol_grading_tooltip                開啟監獄評鑑畫面，顯示目前監獄整體報告與評分

interface_confirmlandbuy                        你確定要花費 $*X 購買這塊土地嗎？
interface_loadconfirm                           你確定要讀檔嗎？所有未儲存的進度將會遺失。
interface_saveconfirm                           你確定要使用這個檔名存檔嗎？已有的存檔資料將會被覆蓋。

interface_landbuylabel                          *X公尺 x *Y公尺，總面積 *A 平方公尺， *C

interface_action_dismantle                      拆除
interface_action_dump                           丟棄
interface_action_repair                         維修
interface_action_medicalbay                     醫務室
interface_action_search                         搜索
interface_action_searchcell                     搜索牢房
interface_action_searchcellblock                搜索牢房區
interface_action_sack                           開除
interface_action_doormodenormal                 門禁模式: 一般
interface_action_doormodelockedshut             門禁模式: 上鎖
interface_action_doormodelockedopen             門禁模式: 開放
interface_action_switchon                       開啟
interface_action_switchoff                      關閉
interface_action_sellobject                     出售
interface_action_dismiss                        解散
interface_action_connect                        連接線路
interface_action_clearconnections               清除連接線路
interface_action_servoopen                      觸發時開啟
interface_action_servoclose                     觸發時關閉

interface_contents_container                    內容: *X 
interface_contents_stack                        內容: *X x *Y 

interface_skip                                  跳過

interface_foundationsinprogress                 地基建設中
riot_underway                                   發生暴動
riot_status_prisoners                           *X 名囚犯正在暴動
shakedown_underway                              全面安檢進行中
shakedown_found                                 查獲:

gameover_caption                                請按 ESC 繼續遊戲

sector_jobs_max                                 工作名額上限 *X
sector_jobs_qualified                           受訓合格囚犯: *X
sector_jobs_required                            (缺額: *X)
sector_noaccess                                 無法進出
sector_insecure                                 不安全

patrol_assign_1                                 指派警衛巡邏:
patrol_assign_2                                 請點選已規劃好的巡邏路線


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					硬體相容性測試
hardware_compat_message					在您的同意下，我們將會蒐集以下您電腦的硬體資料\n\n這些資料將會完全匿名，並協助監獄建築師(Prison Architect)能在更多的電腦硬體上順利執行，\n\n感謝您！
hardware_compat_accept					接受
hardware_compat_decline					拒絕

connectionmenu_connect                  連線
connectionmenu_disconnect               斷線
connectionmenu_clear                    清除
connectionmenu_done                     完成


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      建造
buildtoolbar_reports                    監獄報告
buildtoolbar_bangup                     全體拘禁
buildtoolbar_lockdown                   全面封鎖
buildtoolbar_shakedown                  全面安檢
buildtoolbar_weaponsfree                自由射擊

buildtoolbar_tooltip_reports			開啟監獄報告書，檢視囚犯、員工、收入、補助計畫等等相關資訊。
buildtoolbar_tooltip_bangup				將所有 (願意的) 囚犯押送回他們的牢房，\n但如果你把囚犯鎖在牢房太久，他們會非常生氣。
buildtoolbar_tooltip_lockdown			立刻上鎖監獄內所有的門。
buildtoolbar_tooltip_shakedown          下令立即進行全面安檢搜索所有牢房，搜索將會花費一些時間才能完成，同時也會惹惱你的囚犯們。
buildtoolbar_tooltip_weaponsfree        授權你的武裝警衛使用致命武器。

buildtoolbar_cost						費用: $*C
buildtoolbar_cost_sqrft					費用: 每平方公尺 $*C
buildtoolbar_wages						薪資: 每天 $*W
buildtoolbar_outdoor					僅限戶外
buildtoolbar_indoor						僅限室內
buildtoolbar_walk_speed					移動速度: *S
buildtoolbar_walk_speed_slow			慢
buildtoolbar_walk_speed_norm			一般
buildtoolbar_walk_speed_fast			快
buildtoolbar_locked                     未解鎖
buildtoolbar_locked_research			未解鎖 (需要監獄制度: *B)
buildtoolbar_locked_administrator		未解鎖 (需要管理幹部: *B)
buildtoolbar_room						房間

buildtoolbar_electrical                 - 電氣設備
buildtoolbar_highpower                  - 高壓設備
buildtoolbar_water                      - 需要連接水管
buildtoolbar_wired                      - 已連接 (正連接到其他設備)
buildtoolbar_modcontent                 - 模組內容

buildtoolbar_popup_foundations			建造/拆除 建築物來塑造監獄的格局。
buildtoolbar_popup_construction			不同類型的地板和牆面。
buildtoolbar_popup_planning				可在不影響工人目前工作的情況下，自由的規劃你的監獄。
buildtoolbar_popup_designation			指定監獄特定區域為特殊用途空間。
buildtoolbar_popup_objects				在監獄內設置各種實用的設施。
buildtoolbar_popup_overlays				顯示監獄的安全弱點。
buildtoolbar_popup_utilities			水電管線系統。
buildtoolbar_popup_staff				聘請管理幹部協助監獄運轉。
buildtoolbar_popup_deployment			指派員工到監獄內特定區域。
buildtoolbar_popup_logistics            指派囚犯在監獄內進行後勤勞動工作，並可手動指派餐廳和衣物清洗工作。
buildtoolbar_popup_research				為監獄解鎖更多功能。
buildtoolbar_popup_emergencies			呼叫緊急支援協助解決監獄內的突發事件。
buildtoolbar_popup_spawn				重生？這是啥鬼東西？
buildtoolbar_popup_clone				按右鍵選取複製現有的建築設施，然後可以直接貼上。
buildtoolbar_popup_properties			找出是啥在搞鬼。
buildtoolbar_popup_contraband           顯示違禁品的來源，以及最近沒收的違禁品，另外也會顯示秘密線人和他的相關資料。
buildtoolbar_popup_grading              檢視監獄在四項重點項目中的評價 - 懲處、教化、保安、醫療，同時顯示囚犯出獄後的再犯率。
buildtoolbar_popup_room_cell			囚犯居住的地方。
buildtoolbar_popup_room_holdingcell		當新進囚犯還沒有分配個人牢房時，會先收容在集體牢房內。
buildtoolbar_popup_room_solitary		禁閉室是獨立的牢房，專門用來監禁壞蛋中的壞蛋。
buildtoolbar_popup_room_canteen			囚犯喝下午茶的地方。
buildtoolbar_popup_room_kitchen			廚師料理準備食物的地方。
buildtoolbar_popup_room_shower			讓你的囚犯清潔溜溜，不會長蝨子。
buildtoolbar_popup_room_yard			在狙擊塔嚴密的監視下，讓你的囚犯每天曬曬幾小時的太陽。
buildtoolbar_popup_room_storage			存放所有監獄員工所需的材料的區域。
buildtoolbar_popup_room_deliveries		所有商品、材料和囚犯卸貨的地方。
buildtoolbar_popup_room_garbage			各種廢棄物蒐集的地方。
buildtoolbar_popup_room_execution		讓囚犯執行死刑的地方。
buildtoolbar_popup_room_workshop		讓囚犯無聊到死的地方，同時幫你生產一些車牌。
buildtoolbar_popup_room_security		警衛的辦公室。
buildtoolbar_popup_room_office			管理幹部工作的地方。
buildtoolbar_popup_room_medicalward		醫療幹部工作的地方。
buildtoolbar_popup_room_morgue			死掉的囚犯和員工會送到這裡。
buildtoolbar_popup_room_commonroom		囚犯在自由活動時間可以休息的地方。
buildtoolbar_popup_room_kennel          警犬住的地方。
buildtoolbar_popup_room_chapel          當一堆官僚人士聚集在一起，為囚犯的宗教信仰需求想一個解決辦法，最後會出現什麼？\n一個「多重信仰祈禱室」就此誕生，也就是所謂的教堂。
buildtoolbar_popup_room_paroleroom      當囚犯服刑期滿 50% 和 75% 時，就有資格申請假釋，他們的命運將會在這間房間內，由典獄長和保安隊長決定。\n\n建議安排額外的警衛戒備，當犯人知道他們假釋被駁回的時候通常會傷心欲絕。
buildtoolbar_popup_room_library         全國各地會送一些不要的或使用過的書籍給你的監獄，囚犯要協助將書本分類並上架。
buildtoolbar_popup_room_intake          囚犯剛抵達的時候會先帶到這裡。

buildtoolbar_popup_obj_bed				不會太軟、也不會太硬，硬度剛剛好。嗯，事實上嘛，真的很硬又很小。
buildtoolbar_popup_obj_toilet			這是基本人權。
buildtoolbar_popup_obj_table			跟椅子非常契合。
buildtoolbar_popup_obj_chair			跟桌子十分契合。
buildtoolbar_popup_obj_bench			可以坐在上面。
buildtoolbar_popup_obj_electricchair	能送出兩千伏特的正義。
buildtoolbar_popup_obj_jaildoor			把囚犯關在他們該在的地方。
buildtoolbar_popup_obj_jaildoorlarge	把很多囚犯關在他們該在的地方。
buildtoolbar_popup_obj_door				一扇簡單的門。
buildtoolbar_popup_obj_solitarydoor		最堅固的門可以阻擋最強壯的囚犯逃獄。
buildtoolbar_popup_obj_staffdoor		一扇有上鎖的門，不只警衛能開，所有員工都能開。
buildtoolbar_popup_obj_window			可以看一眼陽光。
buildtoolbar_popup_obj_windowlarge		可以看很多眼陽光。
buildtoolbar_popup_obj_tree				防止全球暖化人人有責。
buildtoolbar_popup_obj_light			確保你在任何時間都看的到你的囚犯。
buildtoolbar_popup_obj_cooker			讓你的囚犯體驗吃熱食的豪華生活。
buildtoolbar_popup_obj_fridge			避免你的食材變質壞掉。
buildtoolbar_popup_obj_bin				當扯到違禁品管控的時候，整潔是一件非常重要的事情。
buildtoolbar_popup_obj_sink				所有的員工都必需要洗手。
buildtoolbar_popup_obj_servingtable		把食物裝盤給你的囚犯領取。
buildtoolbar_popup_obj_showerhead		蓮蓬的頭，洗澡用。
buildtoolbar_popup_obj_bookshelf		一個放書的架子。
buildtoolbar_popup_obj_officedesk		你的員工常常要寫很多東西，給他們一個閃亮的辦公桌吧。
buildtoolbar_popup_obj_filingcabinet	你的員工需要把他們寫的東西整理收好。
buildtoolbar_popup_obj_medicalbed		在囚犯偷走之前，你要有個地方存放毒品。
buildtoolbar_popup_obj_morgueslab		提供死者一個有尊嚴的地方暫放，等待之後靈車來搬移。
buildtoolbar_popup_obj_drain			去除地板上的積水。
buildtoolbar_popup_obj_sprinkler		發生火災時自動在區域內灑水。
buildtoolbar_popup_obj_metaldetector	當囚犯經過時可以探測是否有違禁品，但仍需要在附近安排警衛才能沒收違禁品。
buildtoolbar_popup_obj_weightsbench		讓你的囚犯運動，他們喜歡運動。
buildtoolbar_popup_obj_phonebooth		囚犯或許會想跟家人講話，而這些好用的電話亭實現他們的願望。
buildtoolbar_popup_obj_tv				用一些令人麻木的平凡事物平靜囚犯的心情。
buildtoolbar_popup_obj_largetv			讓一堆囚犯們可以共享他們的腦殘時刻。
buildtoolbar_popup_obj_pooltable		用一場撞球洗刷無聊的監獄生活。
buildtoolbar_popup_obj_dismantleobject	從你的監獄中移除一件物品。
buildtoolbar_popup_obj_altar            將祈禱者的心聲轉達給至高無上的天神。
buildtoolbar_popup_obj_pews             信仰者們的座椅，用最堅硬、最不柔軟且沒有軟墊的木頭做成。
buildtoolbar_popup_obj_prayermat        讓你的囚犯在祈禱的時候不要碰到骯髒的地板。

buildtoolbar_popup_staff_workman		他們會按照你提供的設計，幫你建造你的監獄。
buildtoolbar_popup_staff_guard			幫你看管囚犯並避免他們滋事。
buildtoolbar_popup_staff_armedguard     配戴散彈槍，囚犯在攻擊這傢伙之前一般會三思。\n\n註：每個武裝警衛在軍械庫內都要有一個個人的置物櫃。
buildtoolbar_popup_staff_doctor			自動治療附近受傷的人，不論是警衛或是囚犯。
buildtoolbar_popup_staff_cook			用囚犯自己準備的餐點餵飽他們。
buildtoolbar_popup_staff_gardener		讓你的監獄地面清潔溜溜。
buildtoolbar_popup_staff_janitor		讓你的監獄室內清潔溜溜，也可以協助囚犯洗衣服。
buildtoolbar_popup_staff_warden			你監獄的大監督者，必需要先聘僱他才能研發監獄制度和聘請其他高級幹部。
buildtoolbar_popup_staff_chief			監獄高級幹部，掌管部署介面、閉路監視器、鎮報警衛等等監獄制度。
buildtoolbar_popup_staff_foreman		監獄高級幹部，負責管理監獄清潔工和園丁。
buildtoolbar_popup_staff_psychologist	監獄高級幹部，讓你可以瞭解囚犯們的內心世界。
buildtoolbar_popup_staff_accountant		監獄高級幹部，提供監獄財務金融報告。
buildtoolbar_popup_staff_lawyer			監獄高級幹部，協助你扭曲某些法規以獲得更大的監獄控制權。

buildtoolbar_popup_uts_powerstation		產生監獄所需要的電力。
buildtoolbar_popup_uts_capacitor		當放置在變電站旁的時候，可以提高變電站產出的電力。
buildtoolbar_popup_uts_electricalcable	將電力配送到監獄各個角落。
buildtoolbar_popup_uts_powerswitch		任何連接在開關上的電路可以藉此切換是否通電。\n\n按右鍵切換開或關。
buildtoolbar_popup_uts_waterpumpstation	提供監獄水源。
buildtoolbar_popup_uts_pipevalve		任何連接在閥門上的水管可以藉此切換是否流通。
buildtoolbar_popup_uts_pipelarge		將大量的水配送到監獄各個角落，這水管或許大到可以讓人在裡面爬，穿過五百碼的臭氣而奔向自由。
buildtoolbar_popup_uts_pipesmall		將水配送到監獄各個角落。
buildtoolbar_popup_uts_cctv				不需要到處安排警衛就可以隨時監視監獄。\n\n你必需要將這個閉路攝影機連接到一台閉路監視器才能正常運作。
buildtoolbar_popup_uts_cctvmonitor		專門設置在安全中心內，並由警衛操作的安全設備，可以遠端監看監獄內的閉路攝影機。\n\n使用連接工具將閉路攝影機連接到這台閉路監視器上。\n\n註: 一台閉路監視器一次最多顯示八個攝影機畫面，如果連接超過八台攝影機，則監視器會慢慢的輪流顯示部分攝影機的畫面。
buildtoolbar_popup_uts_DoorControlSystem  專門設置在安全中心內，並由警衛操作的安全設備，可以遠端開關監獄內的門。\n\n使用連接工具將門禁伺服器連接到這台門禁控制系統上，而門禁伺服器應該要安裝在你想要遙控的門的上方。\n\n註: 你可以連接無限多個門禁伺服器到門禁控制系統上，但是操作系統的警衛最快每秒只能開兩個門。
buildtoolbar_popup_uts_phonemonitor     專門設置在安全中心內，並由警衛操作的安全設備，讓你可以監聽所有囚犯打出去的電話，即時攔截可能的犯罪計畫。\n\n使用連接工具將電話亭連接到這台電話監聽器上。
buildtoolbar_popup_uts_Servo            將門禁伺服器安裝在你想要遙控的門的上方，請確定馬達齒輪在門的正上方。\n\n當安裝好之後，只要門禁伺服器被觸發就會自動開門 - 一般是由門禁控制系統或是門禁定時器觸發。\n\n門禁伺服器可以串連，當第一台被觸發的時候就會同時觸發後面的伺服器。
buildtoolbar_popup_uts_LogicCircuit     進階建築師專用。\n\n一個簡單的電路盒可以依照輸入訊號進行邏輯運算後輸出。\n\n可用運算: And / Or / Not / Nand / Nor / Xor\n\n按右鍵切換邏輯運算。
buildtoolbar_popup_uts_LogicBridge      進階建築師專用。\n\n接收輸入訊號，並把訊號橋接到同一格的電力線路上，透過電力線路傳遞邏輯訊號到另一個邏輯單元。\n\n可以用來對整個監獄「廣播」一個訊號，例如在廣播一個時脈訊號的時候很好用。
buildtoolbar_popup_uts_DoorTimer        在每天固定的時段自動開門。\n\n使用連接工具將門禁伺服器連接到這台門禁定時器上。
buildtoolbar_popup_uts_Wire             連接所有遠端遙控系統設備。
buildtoolbar_popup_uts_showallwires		顯示監獄內所有電電子路連線。
buildtoolbar_popup_uts_remotedoor       一扇無法用鑰匙開啟的堅固金屬門 (只能透過遠端遙控開啟) ，用這種門可以有效防止囚犯偷鑰匙逃獄。
buildtoolbar_popup_uts_dismantleutility	從監獄移除一個設施。
buildtoolbar_popup_uts_pressurepad      當有物體壓在上面時，送出一個訊號給連接的設備。
buildtoolbar_popup_uts_statuslight      依照接收到的訊號亮紅或綠燈。

buildtoolbar_contraband_source          顯示監獄內所有可能被偷竊的違禁品位置。
buildtoolbar_contraband_day             顯示所有過去24小時內沒收的違禁品。
buildtoolbar_contraband_week            顯示所有過去7天內沒收的違禁品。
buildtoolbar_contraband_alltime         顯示所有過去曾經沒收的違禁品。
buildtoolbar_contraband_informants      顯示秘密線人提供的各種情報。

job_matsassigned                        建材已指定
job_matsavailable                       建材可用
job_awaitingmaterials                   等待建材中
job_inprogress                          工作進行中
job_blocked                             工作 (無法進行)
job_queued                              工作 (已排定等待中)

job_failed_noroute                      沒有可行走的路線
job_failed_nomaterials                  沒有建材
job_failed_toodangerous                 太危險
job_failed_materialsbeingcarried        建材運送中

job_rightclicktocancel                  按右鍵取消工作
job_refundamount                        退款金額: *X

failuremessage_blocked                  無法進行
failuremessage_cantafford               資金不足
failuremessage_cantaffordupkeep         超過每日預算
failuremessage_maximumcountreached      雇員已達上限
failuremessage_maxstaff                 太多員工


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                卸貨
statustoolbar_finances                  經濟
statustoolbar_regime                    日程表
statustoolbar_escapemap                 安全
statustoolbar_electricity               電力
statustoolbar_stats                     狀態
statustoolbar_danger                    危險
statustoolbar_jobs                      工作
statustoolbar_gangs                     幫派
statustoolbar_staff                     員工
statustoolbar_research                  研發


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Sprite 銀行編輯器
spritebankeditor_create                 新建
spritebankeditor_rotate                 旋轉
spritebankeditor_sort                   排序
spritebankeditor_markermodetitle        創造者模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          主選單
codex_campaign                          劇情模式
codex_cutscenes                         過場動畫
codex_qualifications                    資格
codex_load                              讀取監獄
codex_save                              儲存監獄
codex_performance						效能測試
codex_developer_load                    (開發者) 讀取地圖
codex_developer_save                    (開發者) 儲存地圖
codex_contacts                          聯絡
codex_materials                         素材
codex_play                              進行遊戲
codex_polaroids                         Polaroids
codex_introduction                      開場故事
codex_restartintroduction               重新開始開場故事
codex_help                              幫助 (wiki)
codex_opensavefolder                    開啟存檔資料夾
codex_options							選項
codex_nitgs								遊戲內的名字
codex_workshop							分享監獄
codex_checkforupdates                   檢查更新
codex_preorder                          現在預購
codex_termsconditions                   協議與條款
codex_twitter                           推特 (Twitter)
codex_extras                            附加功能
codex_unlocked                          解鎖進度 *X/*Y

codex_new                               建立新監獄
codex_new_worldsize                     地圖大小
codex_new_small                         小
codex_new_medium                        中
codex_new_large                         大

codex_options_graphics					畫質
codex_options_resolution				解析度
codex_options_resolutionauto			自動
codex_options_windowed					視窗化
codex_options_highdpi					高DPI模式
codex_options_filtering					採樣
codex_options_nofiltering				關
codex_options_multisampled				多重採樣
codex_options_supersampled				超級採樣

codex_options_audio						音效
codex_options_volume					主音量
codex_options_frequency					混音頻率
codex_options_swapstero					交換立體聲道
